School,Place,Price,Price.with.aid,Pct.need,merit.aided,Earn,SAT,ACT,SAT.ACT,Public
York College Pennsylvania,"York, PA",31900,23000,45,24,45100,1040,23,1040 / 23,1
Worcester State University,"Worcester, MA",24600,14700,49,2,44200,1020,22,1020 / 22,1
Saint Louis University-Main Campus,"Saint Louis, MO",56900,36900,55,30,46200,1200,28,1200 / 28,0
University of Cincinnati-Main Campus,"Cincinnati, OH",28800,21500,24,17,48400,1130,25,1130 / 25,1
Asbury University,"Wilmore, KY",38000,22200,78,8,33600,1120,24,1120 / 24,0
Mansfield University of Pennsylvania,"Mansfield, PA",25400,15600,57,2,40400,960,21,960 / 21,1
Maryville University of Saint Louis,"Saint Louis, MO",46300,24800,67,21,43000,1100,25,1100 / 25,0
The University of West Florida,"Pensacola, FL",20600,11700,52,6,39100,1030,24,1030 / 24,1
Bluffton University,"Bluffton, OH",44700,24000,85,12,36000,1010,22,1010 / 22,0
Robert Morris University,"Moon Township, PA",43600,26100,74,17,45400,1040,23,1040 / 23,0
Carroll University,"Waukesha, WI",43300,25500,82,21,38600,1190,24,1190 / 24,0
California Institute of the Arts,"Valencia, CA",64900,47400,67,4,39300,1340,28,1340 / 28,0
Kean University,"Union, NJ",29100,16500,51,1,40500,910,17,910 / 17,1
Mercyhurst University,"Erie, PA",48400,23100,70,17,40200,1050,24,1050 / 24,0
Frostburg State University,"Frostburg, MD",20500,14100,48,20,41000,970,20,970 / 20,1
University of Southern Mississippi,"Hattiesburg, MS",21400,13300,51,6,39300,1010,24,1010 / 24,1
Queens University of Charlotte,"Charlotte, NC",50000,27200,69,29,40100,1040,24,1040 / 24,0
Le Moyne-Owen College,"Memphis, TN",19300,14100,89,1,33700,930,16,930 / 16,1
Wheelock College,"Boston, MA",51400,28900,82,14,37100,990,22,990 / 22,0
The College of Saint Rose,"Albany, NY",45600,25600,76,9,36900,1140,23,1140 / 23,0
Mount Mary University,"Milwaukee, WI",41900,14900,82,8,39300,1050,20,1050 / 20,0
Millsaps College,"Jackson, MS",50600,23600,60,38,40000,1130,26,1130 / 26,0
Chapman University,"Orange, CA",64300,38400,53,23,45300,1210,27,1210 / 27,0
Anderson University,"Anderson, IN",41700,25300,82,18,39400,1040,23,1040 / 23,0
Bennington College,"Bennington, VT",66600,34900,71,34,36400,1260,26,1260 / 26,0
University of Saint Francis-Fort Wayne,"Fort Wayne, IN",39300,19200,86,9,41400,980,21,980 / 21,0
Adrian College,"Adrian, MI",46900,23900,86,13,39500,890,22,890 / 22,0
California Baptist University,"Riverside, CA",45100,28100,58,5,40400,980,21,980 / 21,0
Georgia Southern University,"Statesboro, GA",23700,17500,57,2,44300,1110,23,1110 / 23,1
Eckerd College,"Saint Petersburg, FL",55700,34800,86,34,42800,1120,26,1120 / 26,0
University of Missouri-Kansas City,"Kansas City, MO",23600,20600,60,13,44800,960,24,960 / 24,1
Virginia State University,"Petersburg, VA",22000,16400,72,11,38800,810,17,810 / 17,1
Pratt Institute-Main,"Brooklyn, NY",63200,43700,78,25,46400,1140,26,1140 / 26,0
The University of Alabama,"Tuscaloosa, AL",28300,20600,31,23,45300,1130,26,1130 / 26,1
Indiana University of Pennsylvania-Main Campus,"Indiana, PA",25100,17400,45,2,41800,980,20,980 / 20,1
Northern Arizona University,"Flagstaff, AZ",25800,14100,44,12,43900,1050,23,1050 / 23,1
Endicott College,"Beverly, MA",48300,35900,56,21,44800,1070,23,1070 / 23,0
Bridgewater College,"Bridgewater, VA",46700,21000,81,20,37300,1030,23,1030 / 23,0
Martin Methodist College,"Pulaski, TN",35900,25300,54,9,30800,1200,25,1200 / 25,0
Drury University,"Springfield, MO",37700,22900,61,16,37600,1150,25,1150 / 25,0
Loyola University New Orleans,"New Orleans, LA",54500,28600,68,22,39400,1140,25,1140 / 25,0
Georgia State University,"Atlanta, GA",26500,17000,58,,44800,1070,23,1070 / 23,1
California University of Pennsylvania,"California, PA",26100,18400,57,3,39400,980,19,980 / 19,1
Framingham State University,"Framingham, MA",24100,18600,51,6,42500,1040,22,1040 / 22,1
Concordia University-Wisconsin,"Mequon, WI",41500,25300,75,14,42700,1030,23,1030 / 23,0
Western Kentucky University,"Bowling Green, KY",19900,12100,44,13,41600,990,22,990 / 22,1
Cleveland Institute of Art,"Cleveland, OH",56500,35400,82,12,42200,1080,23,1080 / 23,0
Jackson State University,"Jackson, MS",22100,11400,75,3,38900,990,19,990 / 19,1
Berry College,"Mount Berry, GA",46200,26600,72,30,37000,1170,27,1170 / 27,0
Southeast Missouri State University,"Cape Girardeau, MO",20600,12400,54,17,38400,1020,23,1020 / 23,1
Goucher College,"Baltimore, MD",57600,32500,65,30,39500,1200,25,1200 / 25,0
Pennsylvania College of Technology,"Williamsport, PA",31900,23400,67,,49800,1200,25,1200 / 25,1
Grand View University,"Des Moines, IA",36200,19900,75,15,39000,860,21,860 / 21,0
Eastern Connecticut State University,"Willimantic, CT",25400,17500,47,4,43600,1020,22,1020 / 22,1
Columbus College of Art and Design,"Columbus, OH",44400,28300,79,18,40800,1050,22,1050 / 22,0
College for Creative Studies,"Detroit, MI",53700,37500,,,46200,1150,22,1150 / 22,0
Roanoke College,"Salem, VA",55500,31700,72,24,41300,1090,24,1090 / 24,0
Philadelphia University,"Philadelphia, PA",53500,32300,78,16,44300,1060,23,1060 / 23,0
Northern Michigan University,"Marquette, MI",21700,13400,41,8,40300,1110,22,1110 / 22,1
Kutztown University of Pennsylvania,"Kutztown, PA",24800,18700,42,3,38500,960,20,960 / 20,1
William Paterson University of New Jersey,"Wayne, NJ",29000,14400,49,6,41200,1010,19,1010 / 19,1
The University of the Arts,"Philadelphia, PA",60200,37800,,33,42000,1010,22,1010 / 22,0
Virginia Commonwealth University,"Richmond, VA",30200,21100,45,9,43700,1110,24,1110 / 24,1
Clarion University of Pennsylvania,"Clarion, PA",23900,16700,58,2,37200,920,17,920 / 17,1
Emmanuel College-Boston,"Boston, MA",54600,35200,81,18,44600,1090,24,1090 / 24,0
Florida Southern College,"Lakeland, FL",45400,25500,69,33,38900,1090,25,1090 / 25,0
Stetson University,"DeLand, FL",58000,26400,73,24,39400,1170,26,1170 / 26,0
Belmont University,"Nashville, TN",47200,33300,44,21,40300,1170,27,1170 / 27,0
King's College,"Wilkes-Barre, PA",49200,27600,80,17,39400,1130,23,1130 / 23,0
Ringling College of Art and Design,"Sarasota, FL",61100,49200,59,19,41600,1200,25,1200 / 25,0
Point Park University,"Pittsburgh, PA",42700,24900,90,7,38700,990,22,990 / 22,0
Alcorn State University,"Alcorn State, MS",22300,15800,58,8,39000,880,18,880 / 18,1
Guilford College,"Greensboro, NC",49100,28100,86,18,37600,1070,23,1070 / 23,0
Maryland Institute College of Art,"Baltimore, MD",59400,42800,,,40500,1180,24,1180 / 24,0
Lasell College,"Newton, MA",49200,29700,82,16,40300,980,21,980 / 21,0
Seton Hill University,"Greensburg, PA",47300,23700,84,12,37900,1030,23,1030 / 23,0
Edinboro University of Pennsylvania,"Edinboro, PA",21900,15100,60,2,37500,930,20,930 / 20,1
SUNY College of Agriculture and Technology at Cobleskill,"Cobleskill, NY",24200,15700,75,3,34400,990,19,990 / 19,1
Roger Williams University,"Bristol, RI",52000,39300,40,12,47900,1200,25,1200 / 25,0
The New School,"New York, NY",64800,46300,,,45600,1130,25,1130 / 25,0
Bennett College,"Greensboro, NC",32300,23400,91,1,39601,980,19,980 / 19,0
University of Dubuque,"Dubuque, IA",39100,23200,88,10,35300,910,20,910 / 20,0
Arizona Christian University,"Phoenix, AZ",37500,29400,77,9,36600,1040,23,1040 / 23,0
Arcadia University,"Glenside, PA",55700,28700,75,5,36300,1090,25,1090 / 25,0
University of Valley Forge,"Phoenixville, PA",33700,23900,85,9,34300,970,22,970 / 22,0
Carthage College,"Kenosha, WI",52300,29800,75,22,41500,1100,24,1100 / 24,0
Winthrop University,"Rock Hill, SC",27300,17300,66,13,37800,1030,22,1030 / 22,1
Lindsey Wilson College,"Columbia, KY",39000,17100,92,,28300,1040,20,1040 / 20,0
Kent State University at Kent,"Kent, OH",26600,19700,36,17,40600,1040,23,1040 / 23,1
Hope International University,"Fullerton, CA",42500,24300,57,2,40000,960,20,960 / 20,0
The University of Tampa,"Tampa, FL",41800,29900,59,30,41200,1070,24,1070 / 24,0
North Carolina Central University,"Durham, NC",19600,10600,77,1,36300,860,18,860 / 18,1
Claflin University,"Orangeburg, SC",33900,21600,87,17,36800,880,18,880 / 18,0
Savannah College of Art and Design,"Savannah, GA",54700,41400,34,44,40400,1060,24,1060 / 24,0
High Point University,"High Point, NC",48600,39400,,8,41000,1090,24,1090 / 24,0
Oakwood University,"Huntsville, AL",37200,29400,88,,38900,920,20,920 / 20,0
Miles College,"Fairfield, AL",23500,18100,99,1,31300,1030,20,1030 / 20,0
